Rank,Name,Age,Link,Favorites,Animeography,PFP
435,"Uryuu, Minene",20,https://myanimelist.net/character/4966/Minene_Uryuu,4803,"Mirai Nikki, Mirai Nikki (TV), Mirai Nikki: Redial",https://cdn.myanimelist.net/images/characters/15/160081.jpg
436,"Mayer, Re-l",undefined,https://myanimelist.net/character/643/Re-l_Mayer,4800,Ergo Proxy,https://cdn.myanimelist.net/images/characters/3/325688.jpg
437,Undertaker,undefined,https://myanimelist.net/character/14957/Undertaker,4771,"Kuroshitsuji, Kuroshitsuji II, Kuroshitsuji: Sono Shitsuji, Kougyou",https://cdn.myanimelist.net/images/characters/15/43415.jpg
438,"Matou, Sakura",6,https://myanimelist.net/character/500/Sakura_Matou,4771,"Fate/stay night Movie: Heaven's Feel - I. Presage Flower, Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly, Fate/stay night Movie: Heaven's Feel - III. Spring Song",https://cdn.myanimelist.net/images/characters/14/294277.jpg
439,"Wei, Wuxian",undefined,https://myanimelist.net/character/163083/Wuxian_Wei,4765,"Mo Dao Zu Shi, Mo Dao Zu Shi: Xian Yun Pian, Mo Dao Zu Shi: Wanjie Pian",https://cdn.myanimelist.net/images/characters/16/364285.jpg
440,"Nishikino, Maki",15,https://myanimelist.net/character/46165/Maki_Nishikino,4734,"Bokura no Live Kimi to no Life, Snow Halation, Natsu-iro Egao de 1, 2, Jump!",https://cdn.myanimelist.net/images/characters/9/196139.jpg
441,"Plisetsky, Yuri",15,https://myanimelist.net/character/139242/Yuri_Plisetsky,4731,"Yuri!!! on Ice, Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness",https://cdn.myanimelist.net/images/characters/6/316492.jpg
442,"Miki, Sayaka",14,https://myanimelist.net/character/38395/Sayaka_Miki,4729,"Mahou Shoujo Madoka★Magica, Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari, Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari",https://cdn.myanimelist.net/images/characters/13/107672.jpg
443,"Asui, Tsuyu",15,https://myanimelist.net/character/119209/Tsuyu_Asui,4691,"Boku no Hero Academia: Training of the Dead, Boku no Hero Academia, Boku no Hero Academia 2nd Season",https://cdn.myanimelist.net/images/characters/10/299409.jpg
444,"Yao, Ling",undefined,https://myanimelist.net/character/3293/Ling_Yao,4684,"Fullmetal Alchemist: Brotherhood, Fullmetal Alchemist: Brotherhood - 4-koma Gekijou",https://cdn.myanimelist.net/images/characters/15/62602.jpg
445,"Kotomine, Kirei",undefined,https://myanimelist.net/character/506/Kirei_Kotomine,4681,"Fate/Zero, Fate/Zero 2nd Season, Fate/Zero Remix",https://cdn.myanimelist.net/images/characters/3/258487.jpg
446,"Iino, Miko",undefined,https://myanimelist.net/character/152052/Miko_Iino,4670,"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA",https://cdn.myanimelist.net/images/characters/16/376603.jpg
447,"Doma, Umaru",16,https://myanimelist.net/character/92797/Umaru_Doma,4668,"Himouto! Umaru-chan, Himouto! Umaru-chan OVA, Himouto! Umaru-chanS",https://cdn.myanimelist.net/images/characters/11/288277.jpg
448,"Kyan, Reki",17,https://myanimelist.net/character/188060/Reki_Kyan,4666,SK∞,https://cdn.myanimelist.net/images/characters/16/422618.jpg
449,"Akutagawa, Ryuunosuke",20,https://myanimelist.net/character/132571/Ryuunosuke_Akutagawa,4662,"Bungou Stray Dogs: Dead Apple, Bungou Stray Dogs, Bungou Stray Dogs 2nd Season",https://cdn.myanimelist.net/images/characters/13/304494.jpg
450,"Isshiki, Iroha",undefined,https://myanimelist.net/character/110743/Iroha_Isshiki,4659,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",https://cdn.myanimelist.net/images/characters/8/320273.jpg
451,"Foster, Isaac",20,https://myanimelist.net/character/138441/Isaac_Foster,4633,Satsuriku no Tenshi,https://cdn.myanimelist.net/images/characters/12/360393.jpg
452,"Hoshino, Aquamarine",16,https://myanimelist.net/character/185313/Aquamarine_Hoshino,4628,"""Oshi no Ko"", Idol, ""Oshi no Ko"" 2nd Season",https://cdn.myanimelist.net/images/characters/9/496455.jpg
453,Teresa,undefined,https://myanimelist.net/character/2398/Teresa,4624,Claymore,https://cdn.myanimelist.net/images/characters/7/309238.jpg
454,"Mogami, Kyouko",16,https://myanimelist.net/character/4158/Kyouko_Mogami,4621,Skip Beat!,https://cdn.myanimelist.net/images/characters/13/59130.jpg
455,"Sakagami, Tomoyo",undefined,https://myanimelist.net/character/4603/Tomoyo_Sakagami,4608,"Clannad, Clannad: Mou Hitotsu no Sekai, Tomoyo-hen, Clannad Movie",https://cdn.myanimelist.net/images/characters/2/34293.jpg
456,"Ooe, Kintarou",25,https://myanimelist.net/character/2738/Kintarou_Ooe,4601,Golden Boy,https://cdn.myanimelist.net/images/characters/3/79510.jpg
457,"Yatogami, Tooka",16,https://myanimelist.net/character/65259/Tooka_Yatogami,4598,"Date A Live, Date A Live: Date to Date, Date A Live II",https://cdn.myanimelist.net/images/characters/7/203347.jpg
458,Migi,undefined,https://myanimelist.net/character/13773/Migi,4591,Kiseijuu: Sei no Kakuritsu,https://cdn.myanimelist.net/images/characters/12/348176.jpg
459,"Satou, Mafuyu",16,https://myanimelist.net/character/137914/Mafuyu_Satou,4583,"Given, Given Movie 1, Given: Uragawa no Sonzai",https://cdn.myanimelist.net/images/characters/4/390597.jpg
460,"Polnareff, Jean-Pierre",12,https://myanimelist.net/character/4368/Jean-Pierre_Polnareff,4579,"JoJo no Kimyou na Bouken: Adventure, JoJo no Kimyou na Bouken, JoJo no Kimyou na Bouken Part 3: Stardust Crusaders",https://cdn.myanimelist.net/images/characters/10/245195.jpg
461,"Kaidou, Shun",undefined,https://myanimelist.net/character/90289/Shun_Kaidou,4554,"Saiki Kusuo no Ψ-nan, Saiki Kusuo no Ψ-nan 2, Saiki Kusuo no Ψ-nan: Kanketsu-hen",https://cdn.myanimelist.net/images/characters/12/310574.jpg
462,"Itoshiki, Nozomu",undefined,https://myanimelist.net/character/3169/Nozomu_Itoshiki,4533,"Sayonara Zetsubou Sensei, Zoku Sayonara Zetsubou Sensei, Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu",https://cdn.myanimelist.net/images/characters/10/78202.jpg
463,Kuro no Rider,undefined,https://myanimelist.net/character/79995/Kuro_no_Rider,4526,"Fate/Apocrypha, Fate/Apocrypha Recaps, Fate/Grand Order",https://cdn.myanimelist.net/images/characters/7/333308.jpg
464,"Toudou, Aoi",undefined,https://myanimelist.net/character/164484/Aoi_Toudou,4505,"Jujutsu Kaisen, Jujutsu Kaisen 0 Movie, Jujutsu Kaisen 2nd Season",https://cdn.myanimelist.net/images/characters/5/427604.jpg
465,"Hatsune, Miku",16,https://myanimelist.net/character/7156/Miku_Hatsune,4504,"Downloader, Chime, Sekiranun Graffiti",https://cdn.myanimelist.net/images/characters/4/158297.jpg
466,Emma,11,https://myanimelist.net/character/144337/Emma,4479,"Yakusoku no Neverland, Yakusoku no Neverland 2nd Season, Yakusoku no Neverland: Michishirube",https://cdn.myanimelist.net/images/characters/12/455009.jpg
467,"von Einzbern, Illyasviel",18,https://myanimelist.net/character/503/Illyasviel_von_Einzbern,4475,"Fate/kaleid liner Prisma☆Illya, Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!, Fate/kaleid liner Prisma☆Illya Specials",https://cdn.myanimelist.net/images/characters/14/346384.jpg
468,Tatsumaki,28,https://myanimelist.net/character/81929/Tatsumaki,4442,"One Punch Man, One Punch Man Specials, One Punch Man 2nd Season",https://cdn.myanimelist.net/images/characters/3/543830.jpg
469,Rebecca,20,https://myanimelist.net/character/215035/Rebecca,4438,Cyberpunk: Edgerunners,https://cdn.myanimelist.net/images/characters/16/547499.jpg
470,"Toujou, Koneko",15,https://myanimelist.net/character/51343/Koneko_Toujou,4437,"High School DxD, High School DxD OVA, High School DxD Specials",https://cdn.myanimelist.net/images/characters/7/279778.jpg
471,"Nanakusa, Nazuna",undefined,https://myanimelist.net/character/177826/Nazuna_Nanakusa,4434,"Yofukashi no Uta, Yofukashi no Uta Mini, Yofukashi no Uta 2nd Season",https://cdn.myanimelist.net/images/characters/10/480353.jpg
472,"Edward, Newgate",undefined,https://myanimelist.net/character/2751/Newgate_Edward,4407,"One Piece, One Piece Film: Strong World Episode 0, One Piece: Cry Heart",https://cdn.myanimelist.net/images/characters/3/100236.jpg
473,"Netero, Isaac",120,https://myanimelist.net/character/14489/Isaac_Netero,4406,"Hunter x Hunter Movie 2: The Last Mission, Hunter x Hunter, Hunter x Hunter: Greed Island Final",https://cdn.myanimelist.net/images/characters/7/257355.jpg
474,Crona,undefined,https://myanimelist.net/character/11919/Crona,4381,Soul Eater,https://cdn.myanimelist.net/images/characters/10/549063.jpg
475,Casca,undefined,https://myanimelist.net/character/423/Casca,4378,"Kenpuu Denki Berserk, Berserk: Ougon Jidai-hen I - Haou no Tamago, Berserk: Ougon Jidai-hen II - Doldrey Kouryaku",https://cdn.myanimelist.net/images/characters/14/72697.jpg
476,"Donquixote, Doflamingo",39,https://myanimelist.net/character/2754/Doflamingo_Donquixote,4374,"One Piece, One Piece Film: Strong World Episode 0, One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi",https://cdn.myanimelist.net/images/characters/5/349513.jpg
477,"Sengoku, Nadeko",13,https://myanimelist.net/character/22050/Nadeko_Sengoku,4364,"Bakemonogatari, Monogatari Series: Second Season, Koyomi History",https://cdn.myanimelist.net/images/characters/2/264877.jpg
478,"Shinmon, Benimaru",undefined,https://myanimelist.net/character/141573/Benimaru_Shinmon,4361,"Enen no Shouboutai, Enen no Shouboutai: Ni no Shou, Enen no Shouboutai Mini Anime",https://cdn.myanimelist.net/images/characters/5/397594.jpg
479,Bondrewd,undefined,https://myanimelist.net/character/151195/Bondrewd,4354,"Made in Abyss, Made in Abyss Movie 3: Fukaki Tamashii no Reimei, Made in Abyss Movie 2: Hourou Suru Tasogare",https://cdn.myanimelist.net/images/characters/8/471436.jpg
480,"Kamijou, Touma",15,https://myanimelist.net/character/13700/Touma_Kamijou,4348,"Toaru Majutsu no Index, Toaru Majutsu no Index-tan, Toaru Majutsu no Index II",https://cdn.myanimelist.net/images/characters/8/554288.jpg
481,"Kasumigaoka, Utaha",undefined,https://myanimelist.net/character/90177/Utaha_Kasumigaoka,4337,"Saenai Heroine no Sodatekata, Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai, Saenai Heroine no Sodatekata ♭",https://cdn.myanimelist.net/images/characters/8/325309.jpg
482,Yukine,14,https://myanimelist.net/character/84681/Yukine,4333,"Noragami, Noragami OVA, Noragami Aragoto",https://cdn.myanimelist.net/images/characters/16/233653.jpg
483,Dante,undefined,https://myanimelist.net/character/2880/Dante,4326,Devil May Cry,https://cdn.myanimelist.net/images/characters/6/85958.jpg
484,"Komatsu, Nana",9,https://myanimelist.net/character/701/Nana_Komatsu,4325,Nana,https://cdn.myanimelist.net/images/characters/4/88130.jpg
485,Kurama,undefined,https://myanimelist.net/character/731/Kurama,4314,"Yuu☆Yuu☆Hakusho, Yuu☆Yuu☆Hakusho (Movie), Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna",https://cdn.myanimelist.net/images/characters/4/58629.jpg
486,Lavi,19,https://myanimelist.net/character/779/Lavi,4290,"D.Gray-man, D.Gray-man Hallow",https://cdn.myanimelist.net/images/characters/10/72039.jpg
487,"Oshino, Ougi",undefined,https://myanimelist.net/character/90393/Ougi_Oshino,4273,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin, Owarimonogatari, Owarimonogatari 2nd Season",https://cdn.myanimelist.net/images/characters/3/301358.jpg
488,"Futaba, Rio",16,https://myanimelist.net/character/163452/Rio_Futaba,4271,"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai, Seishun Buta Yarou wa Odekake Sister no Yume wo Minai",https://cdn.myanimelist.net/images/characters/11/361763.jpg
489,"Otosaka, Yuu",undefined,https://myanimelist.net/character/122209/Yuu_Otosaka,4264,"Charlotte, Charlotte: Tsuyoimono-tachi",https://cdn.myanimelist.net/images/characters/4/510430.jpg
490,"Kaga, Kouko",18,https://myanimelist.net/character/43669/Kouko_Kaga,4262,Golden Time,https://cdn.myanimelist.net/images/characters/8/221317.jpg
491,"Higashiyama, Kobeni",undefined,https://myanimelist.net/character/174749/Kobeni_Higashiyama,4257,Chainsaw Man,https://cdn.myanimelist.net/images/characters/3/467961.jpg
492,Piccolo,undefined,https://myanimelist.net/character/914/Piccolo,4257,"Dragon Ball Z, Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!, Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu",https://cdn.myanimelist.net/images/characters/8/45628.jpg
493,"Hiruma, Youichi",undefined,https://myanimelist.net/character/945/Youichi_Hiruma,4235,"Eyeshield 21, Eyeshield 21: Maboroshi no Golden Bowl, Eyeshield 21: Jump Festa 2005 Special",https://cdn.myanimelist.net/images/characters/4/61939.jpg
494,Happy,undefined,https://myanimelist.net/character/5188/Happy,4212,"Fairy Tail, Fairy Tail OVA, Fairy Tail Movie 1: Houou no Miko",https://cdn.myanimelist.net/images/characters/14/365287.jpg
495,"Khun, Aguero Agnes",undefined,https://myanimelist.net/character/176657/Aguero_Agnes_Khun,4204,"Kami no Tou, Kami no Tou: Ouji no Kikan",https://cdn.myanimelist.net/images/characters/4/402810.jpg
496,Black☆Star,undefined,https://myanimelist.net/character/8464/Black☆Star,4151,"Soul Eater, Soul Eater NOT!",https://cdn.myanimelist.net/images/characters/3/549089.jpg
497,"Speedwagon, Robert E. O.",undefined,https://myanimelist.net/character/21938/Robert_E_O_Speedwagon,4147,"JoJo no Kimyou na Bouken (TV), JoJo no Kimyou na Bouken: Phantom Blood Pilot",https://cdn.myanimelist.net/images/characters/7/196031.jpg
498,"Ichimaru, Gin",undefined,https://myanimelist.net/character/1087/Gin_Ichimaru,4129,"Bleach, Bleach: The Sealed Sword Frenzy, Bleach: Gotei 13 Omake",https://cdn.myanimelist.net/images/characters/12/98077.jpg
499,"Dian, Isaac",undefined,https://myanimelist.net/character/3662/Isaac_Dian,4121,"Baccano!, Baccano! Specials, Durarara!!",https://cdn.myanimelist.net/images/characters/9/117856.jpg
500,Jinbe,44,https://myanimelist.net/character/18938/Jinbe,4114,"One Piece, One Piece Film: Red, One Piece: Dai Gekisen Tokushuu! Mugiwara no Ichimi vs. Tobi Roppou",https://cdn.myanimelist.net/images/characters/15/307148.jpg
501,"Kanoe, Yuuko",15,https://myanimelist.net/character/30273/Yuuko_Kanoe,4113,"Tasogare Otome x Amnesia, Tasogare Otome x Amnesia: Taima Otome",https://cdn.myanimelist.net/images/characters/16/164633.jpg
502,"Kuroba, Kaito",17,https://myanimelist.net/character/1747/Kaito_Kuroba,4097,"Meitantei Conan Movie 08: Ginyoku no Magician, Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!, Meitantei Conan OVA 04: Conan to Kid to Crystal Mother",https://cdn.myanimelist.net/images/characters/6/279396.jpg
503,"Hitachiin, Hikaru",16,https://myanimelist.net/character/22/Hikaru_Hitachiin,4087,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/characters/2/48468.jpg
504,"Kanroji, Mitsuri",19,https://myanimelist.net/character/151145/Mitsuri_Kanroji,4076,"Kimetsu no Yaiba: Katanakaji no Sato-hen, Kimetsu no Yaiba, Kimetsu no Yaiba Movie: Mugen Ressha-hen",https://cdn.myanimelist.net/images/characters/11/514229.jpg
505,"Stanfield, Claire",undefined,https://myanimelist.net/character/5756/Claire_Stanfield,4069,"Baccano!, Baccano! Specials",https://cdn.myanimelist.net/images/characters/7/305647.jpg
506,"Kise, Ryouta",16,https://myanimelist.net/character/21332/Ryouta_Kise,4048,"Kuroko no Basket: Tip Off, Kuroko no Basket: Oshaberi Demo Shimasen ka, Kuroko no Basket: Saikou no Present desu",https://cdn.myanimelist.net/images/characters/16/246753.jpg
507,"Sakamaki, Izayoi",17,https://myanimelist.net/character/69435/Izayoi_Sakamaki,4038,"Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?, Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki",https://cdn.myanimelist.net/images/characters/10/192915.jpg
508,"Kuran, Kaname",18,https://myanimelist.net/character/3520/Kaname_Kuran,4032,"Vampire Knight, Vampire Knight Guilty, Vampire Knight: Gekiai no Portrait",https://cdn.myanimelist.net/images/characters/7/59910.jpg
509,"Tomoe, Mami",undefined,https://myanimelist.net/character/38194/Mami_Tomoe,4024,"Mahou Shoujo Madoka★Magica, Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari, Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari",https://cdn.myanimelist.net/images/characters/14/141631.jpg
510,Mine,16,https://myanimelist.net/character/65229/Mine,4015,"Akame ga Kill!, AkaKill! Gekijou, Akame ga Kill! Recap",https://cdn.myanimelist.net/images/characters/16/253097.jpg
511,"Valentine, Funny",undefined,https://myanimelist.net/character/20147/Funny_Valentine,4004,,https://cdn.myanimelist.net/images/characters/16/286913.jpg
512,"Horikita, Suzune",undefined,https://myanimelist.net/character/128910/Suzune_Horikita,4000,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season",https://cdn.myanimelist.net/images/characters/12/539069.jpg
513,"Rockbell, Winry",15,https://myanimelist.net/character/63/Winry_Rockbell,3988,"Fullmetal Alchemist: Premium Collection, Fullmetal Alchemist, Fullmetal Alchemist: The Conqueror of Shamballa",https://cdn.myanimelist.net/images/characters/15/84336.jpg
514,Vivy,undefined,https://myanimelist.net/character/193421/Vivy,3976,"Vivy: Fluorite Eye's Song, Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing",https://cdn.myanimelist.net/images/characters/5/437608.jpg
515,"Nanase, Haruka",undefined,https://myanimelist.net/character/83023/Haruka_Nanase,3972,"Free!, Free!: FrFr - Short Movie, Free! Eternal Summer",https://cdn.myanimelist.net/images/characters/2/203959.jpg
516,"Armstrong, Alex Louis",undefined,https://myanimelist.net/character/2079/Alex_Louis_Armstrong,3969,"Fullmetal Alchemist, Fullmetal Alchemist: The Conqueror of Shamballa, Fullmetal Alchemist: Reflections",https://cdn.myanimelist.net/images/characters/2/71066.jpg
517,"Nanami, Mami",undefined,https://myanimelist.net/character/169181/Mami_Nanami,3968,"Kanojo, Okarishimasu: Date Movie, Kanojo, Okarishimasu 2nd Season: Date Movie, Kanojo, Okarishimasu",https://cdn.myanimelist.net/images/characters/4/491833.jpg
518,Twelve,17,https://myanimelist.net/character/103653/Twelve,3968,Zankyou no Terror,https://cdn.myanimelist.net/images/characters/10/251465.jpg
519,"Voldigoad, Anos",undefined,https://myanimelist.net/character/175947/Anos_Voldigoad,3966,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",https://cdn.myanimelist.net/images/characters/13/465356.jpg
520,"Asagiri, Gen",undefined,https://myanimelist.net/character/153843/Gen_Asagiri,3961,"Dr. Stone, Dr. Stone: Stone Wars, Dr. Stone: New World",https://cdn.myanimelist.net/images/characters/12/398561.jpg
521,Clare,undefined,https://myanimelist.net/character/2188/Clare,3959,Claymore,https://cdn.myanimelist.net/images/characters/16/72662.jpg
522,"Shirayuki, Mizore",undefined,https://myanimelist.net/character/8129/Mizore_Shirayuki,3958,"Rosario to Vampire, Rosario to Vampire Capu2",https://cdn.myanimelist.net/images/characters/9/52786.jpg
523,"Kushieda, Minori",17,https://myanimelist.net/character/12305/Minori_Kushieda,3944,"Toradora!, Toradora!: SOS! Kuishinbou Banbanzai, Toradora!: Bentou no Gokui",https://cdn.myanimelist.net/images/characters/11/514090.jpg
524,"Kururugi, Suzaku",17,https://myanimelist.net/character/559/Suzaku_Kururugi,3898,"Code Geass: Hangyaku no Lelouch, Code Geass: Hangyaku no Lelouch Picture Drama, Code Geass: Hangyaku no Lelouch Recaps",https://cdn.myanimelist.net/images/characters/2/31564.jpg
525,"Yamada, Ryou",undefined,https://myanimelist.net/character/206278/Ryou_Yamada,3891,"Bocchi the Rock!, Bocchi the Rock! Movie",https://cdn.myanimelist.net/images/characters/16/491303.jpg
526,"Souma, Yuki",16,https://myanimelist.net/character/208/Yuki_Souma,3886,"Fruits Basket, Fruits Basket 1st Season, Fruits Basket 2nd Season",https://cdn.myanimelist.net/images/characters/10/417954.jpg
527,"Armstrong, Olivier Mira",undefined,https://myanimelist.net/character/3934/Olivier_Mira_Armstrong,3879,"Fullmetal Alchemist: Brotherhood, Fullmetal Alchemist: Brotherhood - 4-koma Gekijou",https://cdn.myanimelist.net/images/characters/7/83953.jpg
528,"Tsukiyomi, Ikuto",17,https://myanimelist.net/character/5801/Ikuto_Tsukiyomi,3870,"Shugo Chara!, Shugo Chara!! Doki, Shugo Chara! Party!",https://cdn.myanimelist.net/images/characters/6/69871.jpg
529,Future Trunks,undefined,https://myanimelist.net/character/143844/Future_Trunks,3858,"Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin, Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen, Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu",https://cdn.myanimelist.net/images/characters/5/375125.jpg
530,"Kazami, Yuuji",19,https://myanimelist.net/character/80891/Yuuji_Kazami,3848,"Grisaia no Kajitsu, Grisaia no Meikyuu: Caprice no Mayu 0, Grisaia no Rakuen",https://cdn.myanimelist.net/images/characters/14/318431.jpg
531,"Toogata, Mirio",18,https://myanimelist.net/character/149296/Mirio_Toogata,3843,"Boku no Hero Academia 3rd Season, Boku no Hero Academia 4th Season, Boku no Hero Academia 5th Season",https://cdn.myanimelist.net/images/characters/15/349440.jpg
532,"Silva, Noelle",15,https://myanimelist.net/character/127141/Noelle_Silva,3837,"Black Clover, Petit Clover Advance, Black Clover: Jump Festa 2018 Special",https://cdn.myanimelist.net/images/characters/14/338844.jpg
533,Konjiki no Yami,undefined,https://myanimelist.net/character/5513/Konjiki_no_Yami,3835,"To LOVE-Ru Darkness, To LOVE-Ru Darkness OVA, To LOVE-Ru Darkness 2nd",https://cdn.myanimelist.net/images/characters/11/226347.jpg
534,Beatrice,1000,https://myanimelist.net/character/10285/Beatrice,3808,"Umineko no Naku Koro ni, Umineko no Naku Koro ni Specials",https://cdn.myanimelist.net/images/characters/16/318556.jpg
535,"Katsuki, Yuuri",23,https://myanimelist.net/character/139244/Yuuri_Katsuki,3790,Yuri!!! on Ice,https://cdn.myanimelist.net/images/characters/13/322593.jpg
536,"Hyuuga, Neji",14,https://myanimelist.net/character/1694/Neji_Hyuuga,3783,"Naruto: Shippuuden Movie 1, Naruto SD: Rock Lee no Seishun Full-Power Ninden, Naruto",https://cdn.myanimelist.net/images/characters/2/105538.jpg
537,Hestia,undefined,https://myanimelist.net/character/93273/Hestia,3779,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II",https://cdn.myanimelist.net/images/characters/16/285883.jpg
538,"Yamauchi, Sakura",undefined,https://myanimelist.net/character/157117/Sakura_Yamauchi,3778,Kimi no Suizou wo Tabetai,https://cdn.myanimelist.net/images/characters/6/364192.jpg
539,"Yazawa, Niko",17,https://myanimelist.net/character/46163/Niko_Yazawa,3776,"Bokura no Live Kimi to no Life, Snow Halation, Natsu-iro Egao de 1, 2, Jump!",https://cdn.myanimelist.net/images/characters/9/200929.jpg
540,"Nakano, Ichika",17,https://myanimelist.net/character/161470/Ichika_Nakano,3773,"5-toubun no Hanayome, 5-toubun no Hanayome ∬, 5-toubun no Hanayome Movie",https://cdn.myanimelist.net/images/characters/12/436646.jpg
541,"Kurokawa, Akane",undefined,https://myanimelist.net/character/195178/Akane_Kurokawa,3762,"""Oshi no Ko"" 2nd Season, ""Oshi no Ko""",https://cdn.myanimelist.net/images/characters/5/512681.jpg
542,"Hatori, Chise",15,https://myanimelist.net/character/99441/Chise_Hatori,3754,"Mahoutsukai no Yome: Hoshi Matsu Hito, Mahoutsukai no Yome, MahoYome: Aisatsu",https://cdn.myanimelist.net/images/characters/15/330649.jpg
543,"Fujinuma, Satoru",29,https://myanimelist.net/character/98737/Satoru_Fujinuma,3749,"Boku dake ga Inai Machi, Boku dake ga Inai Machi Recaps",https://cdn.myanimelist.net/images/characters/8/298512.jpg
544,Neferpitou,undefined,https://myanimelist.net/character/12300/Neferpitou,3748,Hunter x Hunter (2011),https://cdn.myanimelist.net/images/characters/12/253673.jpg
545,"Harvent, Miria",undefined,https://myanimelist.net/character/3796/Miria_Harvent,3745,"Baccano!, Baccano! Specials, Durarara!!",https://cdn.myanimelist.net/images/characters/16/117857.jpg
546,"Fujibayashi, Kyou",undefined,https://myanimelist.net/character/4605/Kyou_Fujibayashi,3744,"Clannad, Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen, Clannad Movie",https://cdn.myanimelist.net/images/characters/11/52002.jpg
547,"Ayase, Chihaya",undefined,https://myanimelist.net/character/47163/Chihaya_Ayase,3728,"Chihayafuru, Chihayafuru 2, Chihayafuru 3",https://cdn.myanimelist.net/images/characters/7/136261.jpg
548,Dandy,undefined,https://myanimelist.net/character/91119/Dandy,3726,"Space☆Dandy, Viva Namida, Space☆Dandy 2nd Season",https://cdn.myanimelist.net/images/characters/7/231179.jpg
549,"Mista, Guido",undefined,https://myanimelist.net/character/13084/Guido_Mista,3725,"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps",https://cdn.myanimelist.net/images/characters/12/380304.jpg
550,"Bachira, Meguru",17,https://myanimelist.net/character/178716/Meguru_Bachira,3712,"Blue Lock, Blue Lock 2nd Season, Blue Lock: Episode Nagi",https://cdn.myanimelist.net/images/characters/14/491180.jpg
551,"River, Nate",13,https://myanimelist.net/character/464/Nate_River,3699,"Death Note, Death Note: Rewrite",https://cdn.myanimelist.net/images/characters/13/77339.jpg
552,"Ononoki, Yotsugi",undefined,https://myanimelist.net/character/57499/Yotsugi_Ononoki,3687,"Tsukimonogatari, Monogatari Series: Off & Monster Season, Nisemonogatari",https://cdn.myanimelist.net/images/characters/4/301226.jpg
553,"Kumagawa, Misogi",17,https://myanimelist.net/character/36753/Misogi_Kumagawa,3680,Medaka Box Abnormal,https://cdn.myanimelist.net/images/characters/15/352595.jpg
554,"Anarchy, Stocking",undefined,https://myanimelist.net/character/32801/Stocking_Anarchy,3666,"Panty & Stocking with Garterbelt, Panty & Stocking in Sanitarybox, New Panty & Stocking with Garterbelt",https://cdn.myanimelist.net/images/characters/8/101434.jpg
